source,year,simpname,nationality,edu,prof,org,loc,lon,lat
imm,1909,"archibald, a f",,,engineer,eaglehawk consolidated gold mining ltd,lane melbourne victoria,144.9709956,-37.8157955
imm,1909,"brown, d p",,,engineer,browbnr itish colonial petroleum ltd ltd,d p,-94.769173,36.585114
imm,1909,"maj, s h",,,engineer,egyptian investment and agency ltd,crawley down sussex,-0.081519,51.1254769
imm,1909,"brown, h b",,,engineer,bersham colliery ltd,colliery near wrexham,-2.991217,53.071851
imm,1909,"brown, j l",,,engineer,lydenborg transvaal gold exploration ltd,james lydenburg transvaal,30.447285,-25.0815817
imm,1909,"brown, l c",,,engineer,la reina de plata ltd,lindsay chihuahua mexico,-106.0691004,28.6329957
imm,1909,"brown, r o",,,engineer,elswick coal ltd,newcastle on tyne,-1.61778,54.978252
imm,1909,"brown, w m",,,engineer,transvaal gold mining estates ltd,main street johannesburg,28.0566258,-26.2051245
imm,1909,"browne, g b",,,engineer,wath main colliery ltd,carcroft near doncastcr,-1.18485,53.584533
imm,1909,"browne, h e",,,engineer,bulawayo and general exploration ltd,e gwelo rhodesia,29.8120795,-19.468531
imm,1909,"browne, j t",,,engineer,newbiggin colliery ltd,bedworth near nuneaton,-1.468869,52.481392
imm,1909,"bryant, j w",,,engineer,cape copper ltd,island b c,-124.7981005,49.5629711
imm,1909,"bryant, j b",,,engineer,new rand ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"buchanan, n l",,,engineer,taitapn gold estates ltd,nelson new zealand,173.2839653,-41.2706319
imm,1909,"buckley, r b",,,engineer,egyptian investment and agency ltd,clanricarde gardens w,-0.1932963,51.5104539
imm,1909,"buck, t j",,,engineer,agua dios gold minescolombia ltd,street s w,-77.0180807,38.8776593
imm,1909,"budfte, j m",,,engineer,wemyss collieries trust ltd,wemyss n b,-3.063495,56.161291
imm,1909,"bullen, r h",,,engineer,of india ltd,oorgauro mysore india,76.6393805,12.2958104
imm,1909,"bullen, r h",,,engineer,waihi gold mining ltd,oorgauro mysore india,76.6393805,12.2958104
imm,1909,"bulman, e i",,,engineer,rand collieries ltd,brakpan transvaal,28.3724782,-26.2442064
imm,1909,"buquet, m r",,,engineer,conquista xicao gold mines ltd,monsieur ruelegendre paris,2.3198417,48.8874397
imm,1909,"burgeas, h j",,,engineer,kuils river tin mines ltd,district cape colony,-70.172495,42.061342
imm,1909,"burnell, i e",,,engineer,new dynant anthracite colliery ltd,frederick street llanelly,-4.160248,51.680886
imm,1909,"burnett, d v",,,engineer,piggs peak development ltd,piggs peak swaziland,31.2483291,-25.9685155
imm,1909,"burr, a w",,,engineer,foncage syndicate ltd,king street dottr,-79.9334605,32.7813381
imm,1909,"burr, a w",,,engineer,sondage synd ltd,king street dottr,-79.9334605,32.7813381
imm,1909,"burrmalcolm, e s",,,engineer,east kent colliery ltd,s o dover,-75.5193421,39.1483845
imm,1909,"burrmalcolm, e s",,,engineer,foncage syndicate ltd,s o dover,-75.5193421,39.1483845
imm,1909,"burrmalcolm, e s",,,engineer,guildford syndicate ltd,s o dover,-75.5193421,39.1483845
imm,1909,"burrmalcolm, e s",,,engineer,south eastern coalfield extension ltd,s o dover,-75.5193421,39.1483845
imm,1909,"burr, e a",,,engineer,montana mining ltd,u s a,-95.712891,37.09024
imm,1909,"bury, c d",,,engineer,denaby and cadeby main collieries ltd,denaby rotherham yorks,-1.2563548,53.49169
imm,1909,"busoh, g e",,,engineer,new lisbon berlyn ltd,pilgrims rest transvaal,30.7543917,-24.8911913
imm,1909,"bush, j e",,,engineer,united african lands ltd,eikeboom middelburg transvaal,29.4639354,-25.769902
imm,1909,"buteflsch, t a",,,engineer,crockperirn cess royal gold mining ltd,norseman w a,121.7784497,-32.1852904
imm,1909,"butterfield, i c",,,engineer,complex ore ltd,y coed talysarn,-2.8856958,53.0378436
imm,1909,"selby, r h",,,engineer,tarkwa banket west ltd,moorgate place london,-0.0885558,51.516482
imm,1909,"cadman, j c",,,engineer,weatwood manor coal and iron ltd,c madeley staffs,-2.3416261,52.9963347
imm,1909,"cairncross, j m",,,engineer,tyndrum lead and zinc mines ltd,middleton in teesdale,-2.085454,54.626508
imm,1909,"cairncross, j m",,,engineer,manica copper development ltd,south west africa,,
imm,1909,"calastreme, i c",,,engineer,british central africa ltd,mayo buenos ayres,-58.3812016,-34.6090887
imm,1909,"caldecott, w a",,,engineer,gold fields of south africa ltd,jewry london,-0.0908538,51.5143264
imm,1909,"caldwell, m b",,,engineer,aihanti quartz ite gold mining ltd,isansi west africa,-2.4604145,13.531665
imm,1909,"caldwell, m m",,,engineer,scottish gympie gold mines ltd,matthew monkland queensland,152.686,-26.21
imm,1909,"cameron, w m",,,engineer,a goerz ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"cameron, w m",,,engineer,durban roodepoort deep ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"cameron, w m",,,engineer,geduld proprietary mines ltd,johannesburg transvaal,28.0455645,-26.1805735
imm,1909,"cameron, w m",,,engineer,lancaster west gold mining ltd,johannesburg transvaal,28.0455645,-26.1805735
